GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Jan 02 16:23:40 GMT+05:30 2020,23:39.7,78.53569674,17.34107647,0,5.36,431.59729,0,5.86784363,5.45761824,4.72907352,-0.01963375,-,12.94117641,0.0346697,0.78116769,0.43680245,0.41845059,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,58,-,22.35294151,17.25490189,-,-,794.5,0.02527157,0.00455077,0.00007585,7.79981518,-8.59375,-4.6875,-,-4.6875,5.36000013,431.59729,0,17.3410759,78.53569794,22,0,-,30,3.91601896,0,12.40897465,8.0585165,0,35.05360031,0.76499999,0.70499998,3.13725495,223,0,0,13.33333397,9.5,-,13.64950943,7.32611847,38.55793381,-,0,0,0,-9.86256599,-,14.1590004,14.30000019,-
Thu Jan 02 16:23:41 GMT+05:30 2020,23:40.7,78.53569162,17.34107437,0,4.288,432.6567993,0,-9.64168167,-1.2521168,2.36353922,0.13943711,-,13.33333397,0.14811899,-1.0962671,-0.10260755,0.22395533,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,58,-,22.74509811,17.64705849,-,-,796.5,0.04678762,0.16625971,0.002771,7.79906845,-8.59375,-3.125,-,-4.6875,4.28800011,432.6567993,0,17.34107399,78.53569031,21,0,-,30,3.91601896,0,12.40876484,8.05865192,0,35.05300903,0.56999999,0.70499998,3.13725495,224,0,0,13.33333397,7.5,-,13.27293491,7.53397179,37.49416733,-,0,0,0,-9.86256599,-,14.20600033,14.19999981,-
Thu Jan 02 16:23:42 GMT+05:30 2020,23:41.7,78.53569944,17.34107606,0,4.288,432.0284424,0,-10.7807312,-3.58890629,1.11669254,0.16479504,-,12.94117641,0.21539026,-1.09040666,-0.44825482,0.1936761,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,58,-,22.35294151,17.25490189,-,-,796.5,0.04678762,0.16625971,0.002771,7.79906845,-8.59375,-2.34375,-,-2.34375,4.28800011,432.0284424,0,17.3410759,78.53569794,24,0,-,30,3.91601896,0,12.40876484,8.05865192,0,35.05300903,0.09,0.70499998,3.13725495,225,0,0,13.33333397,6.5,-,13.27293491,7.53397179,37.49416733,-,0,0,0,-9.86256599,-,14.20600033,14.19999981,-
Thu Jan 02 16:23:43 GMT+05:30 2020,23:42.7,78.53569995,17.34107621,0,4.288,431.7351074,0,-9.51472092,-0.42447889,2.08207035,0.01473649,-,12.94117641,-0.0108339,-0.96391755,-0.03875255,0.11712335,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,58,-,21.96078491,17.25490189,-,-,796,0.0802756,0.16880451,0.00281341,7.7979064,-8.59375,-0.78125,-,-0.78125,4.28800011,431.7351074,0,17.3410759,78.53569794,24,0,-,30,3.91601896,0,12.40855598,8.0587883,0,35.05241776,0.12,0.70499998,3.13725495,226,0,0,13.33333397,5,-,13.04218864,7.66726494,36.84234238,-,0,0,0,-9.86256599,-,14.1590004,14.19999981,-
Thu Jan 02 16:23:44 GMT+05:30 2020,23:43.7,78.5356937,17.34107673,0,4.288,431.9119263,0,-9.49435902,-0.36698741,2.11920047,0.00715706,-,14.90196133,-0.00365857,-0.97466171,-0.02666528,0.10332677,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,59,-,23.92156982,25.49019623,-,-,807,0.09036157,0.1697588,0.00282931,7.7975564,-8.59375,-2.34375,-,-2.34375,4.28800011,431.9119263,0,17.3410759,78.53569031,24,0,-,30,3.91601896,0,12.40855598,8.0587883,0,35.05241776,0.82499999,0.69999999,4.70588255,227,0,0,14.90196133,14,-,13.04218864,7.66726494,36.84234238,-,0,0,0,-9.86256599,-,12.95699978,13.10000038,-
Thu Jan 02 16:23:45 GMT+05:30 2020,23:44.7,78.53569134,17.3410747,0,4.288,431.9884033,0,-8.29781818,5.57859039,3.41275883,-0.10370751,-,14.90196133,-0.24886999,-0.02245306,0.62409419,-0.51690924,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,59,-,33.33333206,27.45098114,-,-,774,0.11419929,0.24294905,0.00404915,7.79672909,-7.8125,-2.34375,-,-3.90625,4.28800011,431.9884033,0,17.34107399,78.53569031,24,0,-,30,5.51143408,0,12.40845108,8.05885601,0,35.05212402,0.41,0.70999998,4.31372547,228,0,0,14.50980377,10.5,-,12.95346642,7.71978045,36.59171295,-,0,0,0,-8.26715088,-,13.3579998,13.39999962,-
Thu Jan 02 16:23:46 GMT+05:30 2020,23:45.7,78.53569337,17.34107595,0,4.288,432.0579834,0,9.86230564,-2.53609324,1.74790108,-0.04413235,-,14.90196133,-0.28027514,0.70888823,-0.07733416,-0.0043599,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,59,-,38.03921509,29.80392075,-,-,771.5,0.13503586,0.25296327,0.00421605,7.7960062,-7.8125,0,-,-0.78125,4.28800011,432.0579834,0,17.3410759,78.53569031,24,0,-,30,6.23662281,0,12.40834713,8.05892372,0,35.05182648,0.06,0.70999998,5.09803915,229,0,0,14.90196133,0.5,-,12.8763628,7.76600695,36.37390518,-,0,0,0,-7.54196262,-,14.0170002,13.80000019,-
Thu Jan 02 16:23:47 GMT+05:30 2020,23:46.7,78.53569086,17.34107808,0,4.288,432.0385742,0,6.88592243,2.13029885,4.00564003,-0.14041227,-,14.90196133,-0.11180928,0.73196393,0.24071993,0.34116524,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,59,-,35.29411697,27.05882263,-,-,798.5,0.16026118,0.24238354,0.00403973,7.79513073,-7.8125,1.5625,-,1.5625,4.28800011,432.0385742,0,17.3410778,78.53569031,24,0,-,30,5.80150938,0,12.40824223,8.05899143,0,35.05153275,0.055,0.70999998,4.70588255,230,0,0,14.90196133,3.5,-,12.80823326,7.80731535,36.18144989,-,0,0,0,-7.97707605,-,14.04100037,14.19999981,-
Thu Jan 02 16:23:48 GMT+05:30 2020,23:47.7,78.53568667,17.34107726,0,4.288,432.4501953,0,9.55688095,-0.82931483,0.38247836,0.07166505,-,14.90196133,0.08402772,1.07114029,-0.1562067,-0.04929038,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,59,-,34.11764908,26.27450943,-,-,809.5,0.19445691,0.24888296,0.00414805,7.79394436,-7.8125,3.90625,-,4.6875,4.28800011,432.4501953,0,17.3410778,78.53569031,22,0,-,30,5.65647173,0,12.40813828,8.05905914,0,35.0512352,0.06,0.70999998,4.70588255,231,0,0,14.90196133,3,-,12.74724197,7.84467077,36.00915909,-,0,0,0,-8.12211418,-,14.06499958,14.19999981,-
Thu Jan 02 16:23:49 GMT+05:30 2020,23:48.7,78.53568548,17.34107632,0,4.288,432.5162964,0,-0.69217378,4.5365572,20.60151482,2.33313799,-,14.90196133,6.13456488,0.56261992,0.16575438,7.00796938,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,59,-,33.72549057,26.27450943,-,-,817,0.21517542,0.2476577,0.00412763,7.79322529,-7.8125,6.25,-,6.25,4.28800011,432.5162964,0,17.3410759,78.53568268,23,0,-,30,5.65647173,0,12.40803337,8.05912685,0,35.05094147,0.085,0.70499998,4.70588255,232,0,0,14.90196133,1.5,-,12.69205952,7.87877846,35.8532753,-,0,0,0,-8.12211418,-,14.1590004,14.19999981,-
