 Device Time,Trip Time(Since journey start)(s),Engine RPM(rpm),Speed (OBD)(km/h),Engine kW (At the wheels)(kW),Torque(Nm),Gear Status,Power/ Torque,W,H/J
44:06.1,1269,2370,43,4.29643488,18.17567635,,236.383769,248.2857143,0.952063512
44:07.1,1270,2427.25,44,5.64835691,22.75808907,,248.1911769,254.2833333,0.976041857
44:08.1,1271,2470,46,4.70126534,18.49534035,,254.1864735,258.7619048,0.982317987
44:09.1,1272,2453.5,46,2.76370072,10.75640106,,256.9354475,257.0333333,0.999619171
44:10.1,1273,2456,45,2.76370072,10.75640106,,256.9354475,257.2952381,0.998601643
44:11.1,1274,2411.5,45,2.76370072,10.75640106,,256.9354475,252.6333333,1.017029084
44:12.1,1275,2333,43,2.76370072,10.75640106,,256.9354475,244.4095238,1.051249737
44:13.1,1276,2213.5,42,-,-,,#VALUE!,231.8904762,#VALUE!
44:14.1,1277,2241.5,41,-,-,,#VALUE!,234.8238095,#VALUE!
44:15.1,1278,2200.75,40,-,-,,#VALUE!,230.5547619,#VALUE!
44:16.1,1279,2062.75,38,-,-,,#VALUE!,216.097619,#VALUE!
44:17.1,1280,1974.75,37,-,-,,#VALUE!,206.8785714,#VALUE!
44:18.1,1281,1949.75,36,-,-,,#VALUE!,204.2595238,#VALUE!
44:19.1,1282,1965,36,-,-,,#VALUE!,205.8571429,#VALUE!
44:20.1,1283,1975.25,37,-,-,,#VALUE!,206.9309524,#VALUE!
44:21.1,1284,1928,36,-,-,,#VALUE!,201.9809524,#VALUE!
44:22.1,1285,1867.75,35,-,-,,#VALUE!,195.6690476,#VALUE!
44:23.1,1286,1802.5,33,-,-,,#VALUE!,188.8333333,#VALUE!
44:24.1,1287,1816.5,34,-,-,,#VALUE!,190.3,#VALUE!
44:25.1,1288,1923.25,36,7.2757473,36.12467194,,201.4065986,201.4833333,0.999619151
44:26.1,1289,2124.75,37,7.2757473,36.12467194,,201.4065986,222.5928571,0.904820582
44:27.1,1290,2227.25,39,7.16490746,32.20066071,,222.5080884,233.3309524,0.953615824
44:28.1,1291,2162.25,41,8.70995235,37.34296799,,233.242102,226.5214286,1.029669041
44:29.1,1292,2111.25,39,8.70995235,37.34296799,,233.242102,221.1785714,1.054542041
44:30.1,1293,2062.25,38,8.70995235,37.34296799,,233.242102,216.0452381,1.07959844
44:31.1,1294,2040.5,38,-,-,,#VALUE!,213.7666667,#VALUE!
44:32.1,1295,1946,37,-,-,,#VALUE!,203.8666667,#VALUE!
44:33.1,1296,1844,34,-,-,,#VALUE!,193.1809524,#VALUE!
44:34.1,1297,1620.5,30,-,-,,#VALUE!,169.7666667,#VALUE!
44:35.1,1298,1469.75,27,-,-,,#VALUE!,153.9738095,#VALUE!
44:36.1,1299,1195.5,22,-,-,,#VALUE!,125.2428571,#VALUE!
44:37.1,1300,1009,18,-,-,,#VALUE!,105.7047619,#VALUE!
44:38.1,1301,997,15,-,-,,#VALUE!,104.447619,#VALUE!
44:39.1,1302,997,15,-,-,,#VALUE!,104.447619,#VALUE!
44:40.1,1303,914,13,-,-,,#VALUE!,95.75238095,#VALUE!
44:41.1,1304,914,12,-,-,,#VALUE!,95.75238095,#VALUE!
44:42.1,1305,1277.5,11,-,-,,#VALUE!,133.8333333,#VALUE!
44:43.1,1306,1450.25,15,-,-,,#VALUE!,151.9309524,#VALUE!
44:44.1,1307,1450.25,18,7.84954357,51.68488693,2,151.8730917,151.9309524,0.999619164
44:45.1,1308,1866.25,23,10.43936253,53.41536713,,195.4374385,195.5119048,0.999619122
44:46.1,1309,2150,27,10.43936253,53.41536713,,195.4374385,225.2380952,0.867692645
44:47.1,1310,2487.5,31,12.69072723,48.71754837,,260.4960154,260.5952381,0.999619246
44:48.1,1311,2629.5,33,12.69072723,48.71754837,,260.4960154,275.4714286,0.945637146
44:49.1,1312,2777.5,35,8.50587749,29.24334717,,290.8653869,290.9761905,0.999619201
44:50.1,1313,2949.75,37,6.40531874,20.7356472,,308.9037288,309.0214286,0.999619121
44:51.1,1314,2364.5,35,6.40531874,20.7356472,,308.9037288,247.7095238,1.247040179
44:52.1,1315,1861,32,6.40531874,20.7356472,,308.9037288,194.9619048,1.584431221
44:53.1,1316,1769.75,33,-,-,3,#VALUE!,185.402381,#VALUE!
44:54.1,1317,1824.25,34,4.29823065,22.49921608,,191.0391293,191.1119048,0.9996192
44:55.1,1318,1909.75,35,3.35778189,16.78950882,,199.9928602,200.0690476,0.999619194
44:56.1,1319,1959,36,3.35778189,16.78950882,,199.9928602,205.2285714,0.97448839
44:57.1,1320,2037.75,38,7.16394663,33.57093811,,213.3972726,213.4785714,0.999619171
44:58.1,1321,2014.5,37,7.16394663,33.57093811,,213.3972726,211.0428571,1.011156101
44:59.1,1322,1991.75,37,7.16394663,33.57093811,,213.3972726,208.6595238,1.022705643
45:00.1,1323,2041.75,38,1.9917208,9.3151083,,213.8161722,213.897619,0.999619225
45:01.1,1324,2056.25,38,1.9917208,9.3151083,,213.8161722,215.4166667,0.992570238
45:02.1,1325,2056.25,38,1.9917208,9.3151083,,213.8161722,215.4166667,0.992570238
45:03.1,1326,2064,38,1.9917208,9.3151083,,213.8161722,216.2285714,0.988843291
45:04.1,1327,2030.75,38,-,-,,#VALUE!,212.7452381,#VALUE!
45:05.1,1328,1961.75,38,-,-,,#VALUE!,205.5166667,#VALUE!
45:06.1,1329,1968.25,36,-,-,,#VALUE!,206.197619,#VALUE!
45:07.1,1330,1940.75,36,-,-,,#VALUE!,203.3166667,#VALUE!
45:08.1,1331,1898.25,36,-,-,,#VALUE!,198.8642857,#VALUE!
45:09.1,1332,1749,33,-,-,,#VALUE!,183.2285714,#VALUE!
45:10.1,1333,1589,29,-,-,,#VALUE!,166.4666667,#VALUE!
45:11.1,1334,1151.75,29,-,-,,#VALUE!,120.6595238,#VALUE!
45:12.1,1335,1014.75,18,-,-,,#VALUE!,106.3071429,#VALUE!
45:13.1,1336,986.75,15,-,-,,#VALUE!,103.3738095,#VALUE!
45:14.1,1337,858.5,11,-,-,,#VALUE!,89.93809524,#VALUE!
45:15.1,1338,912.5,8,-,-,,#VALUE!,95.5952381,#VALUE!
45:16.1,1339,908.75,6,-,-,,#VALUE!,95.20238095,#VALUE!
45:17.1,1340,865,4,-,-,,#VALUE!,90.61904762,#VALUE!
45:18.1,1341,906.25,4,-,-,,#VALUE!,94.94047619,#VALUE!
45:19.1,1342,1403,4,-,-,,#VALUE!,146.9809524,#VALUE!
45:20.1,1343,1676.25,8,2.92452645,16.66014481,,175.5402779,175.6071429,0.999619236
45:21.1,1344,1577,11,2.92452645,16.66014481,,175.5402779,165.2095238,1.062531226
45:22.1,1345,1825.25,12,3.03049994,15.85455036,,191.1438591,191.2166667,0.99961924
45:23.1,1346,2289.5,15,4.30949593,17.97412872,,239.7610475,239.852381,0.99961921
45:24.1,1347,2733.25,18,4.30949593,17.97412872,,239.7610475,286.3404762,0.837328521
45:25.1,1348,2352.25,18,3.51617312,14.27410126,2,246.3323649,246.4261905,0.999619255
45:26.1,1349,1546.5,19,1.71754944,10.60526085,,161.9525879,162.0142857,0.999619183
45:27.1,1350,1671.25,21,1.71754944,10.60526085,,161.9525879,175.0833333,0.925002882
45:28.1,1351,1876,23,5.73472166,29.19049835,,196.4585048,196.5333333,0.999619258
45:29.1,1352,1991.5,25,4.90129948,23.50135803,,208.5538833,208.6333333,0.999619188
45:30.1,1353,2015.5,25,4.90129948,23.50135803,,208.5538833,211.147619,0.987716008
45:31.1,1354,2007,25,4.90129948,23.50135803,,208.5538833,210.2571429,0.99189916
45:32.1,1355,1893,23,-,-,,#VALUE!,198.3142857,#VALUE!
45:33.1,1356,1893,23,-,-,,#VALUE!,198.3142857,#VALUE!
45:34.1,1357,1570.75,21,-,-,,#VALUE!,164.5547619,#VALUE!
45:35.1,1358,1425.75,18,-,-,,#VALUE!,149.3642857,#VALUE!
45:36.1,1359,1342,17,-,-,,#VALUE!,140.5904762,#VALUE!
45:37.1,1360,1382.5,17,-,-,,#VALUE!,144.8333333,#VALUE!
45:38.1,1361,1242.75,16,-,-,,#VALUE!,130.1928571,#VALUE!
45:39.1,1362,1126.5,14,-,-,,#VALUE!,118.0142857,#VALUE!
45:40.1,1363,1140,14,-,-,,#VALUE!,119.4285714,#VALUE!
45:41.1,1364,1199.5,14,-,-,,#VALUE!,125.6619048,#VALUE!
45:42.1,1365,1502.25,19,8.56623268,54.45148087,,157.3186357,157.3785714,0.999619162
45:43.1,1366,1725.5,21,8.56623268,54.45148087,,157.3186357,180.7666667,0.870285648
45:44.1,1367,1797.25,22,4.37669182,23.25409698,,188.2116439,188.2833333,0.999619247
45:45.1,1368,1770.5,22,4.37669182,23.25409698,,188.2116439,185.4809524,1.014722221
45:46.1,1369,1500.75,19,4.37669182,23.25409698,,188.2116439,157.2214286,1.197111905
45:47.1,1370,1193,15,4.37669182,23.25409698,,188.2116439,124.9809524,1.505922625
45:48.1,1371,1230.75,15,-,-,,#VALUE!,128.9357143,#VALUE!
45:49.1,1372,1367.25,17,-,-,,#VALUE!,143.2357143,#VALUE!
45:50.1,1373,1626.25,20,6.31354094,37.07214355,,170.3041782,170.3690476,0.999619242
45:51.1,1374,1942.75,24,9.22630787,45.34955597,,203.4486926,203.5261905,0.999619224
45:52.1,1375,2132,27,9.22630787,45.34955597,,203.4486926,223.352381,0.910886607
45:53.1,1376,2297.5,29,9.19764233,38.22812271,,240.5988492,240.6904762,0.999619316
45:54.1,1377,2285.25,29,9.19764233,38.22812271,,240.5988492,239.4071429,1.004977739
45:55.1,1378,2074.5,26,9.19764233,38.22812271,,240.5988492,217.3285714,1.107074176
45:56.1,1379,2074.5,26,9.19764233,38.22812271,,240.5988492,217.3285714,1.107074176
45:57.1,1380,1340.5,16,-,-,,#VALUE!,140.4333333,#VALUE!
45:58.1,1381,937.75,13,-,-,,#VALUE!,98.24047619,#VALUE!
45:59.1,1382,980.75,13,-,-,,#VALUE!,102.7452381,#VALUE!
46:00.1,1383,1012.25,13,-,-,,#VALUE!,106.0452381,#VALUE!
46:01.1,1384,1247.25,15,2.85947752,21.89249229,,130.6145268,130.6642857,0.999619185
46:02.1,1385,1427.5,18,4.93096495,32.98509979,,149.4906786,149.547619,0.999619248
46:03.1,1386,1428.5,18,4.93096495,32.98509979,,149.4906786,149.652381,0.99891948
46:04.1,1387,1488.75,19,1.1668402,7.48430777,,155.9048927,155.9642857,0.999619189
46:05.1,1388,1669,21,3.79986167,21.74069786,,174.7810348,174.847619,0.999619187
46:06.1,1389,1776.75,22,3.79986167,21.74069786,,174.7810348,186.1357143,0.938997846
46:07.1,1390,1935,24,4.52722788,22.34155655,,202.6370844,202.7142857,0.999619162
46:08.1,1391,2119,26,4.585536,20.6643219,,221.9059509,221.9904762,0.999619239
46:09.1,1392,2074.25,26,4.585536,20.6643219,,221.9059509,217.302381,1.021185087
46:10.1,1393,2011.75,25,4.585536,20.6643219,,221.9059509,210.7547619,1.052910733
46:11.1,1394,2000.25,25,4.585536,20.6643219,,221.9059509,209.55,1.058964213
46:12.1,1395,2122.25,26,-,-,,#VALUE!,222.3309524,#VALUE!
46:13.1,1396,2252.5,28,5.16159058,21.88168526,,235.8863368,235.9761905,0.999619226
46:14.1,1397,2403.75,30,5.59230757,22.21589279,,251.7255382,251.8214286,0.999619213
46:15.1,1398,2513.25,31,5.59230757,22.21589279,,251.7255382,263.2928571,0.95606672
46:16.1,1399,2602,32,3.79658294,13.93309689,,272.4866532,272.5904762,0.999619125
46:17.1,1400,2468,30,3.79658294,13.93309689,,272.4866532,258.552381,1.053893421
46:18.1,1401,2261.25,30,3.79658294,13.93309689,,272.4866532,236.8928571,1.15025272
46:19.1,1402,1924.75,24,-,-,,#VALUE!,201.6404762,#VALUE!
46:20.1,1403,1812.5,22,-,-,,#VALUE!,189.8809524,#VALUE!
46:21.1,1404,1635.75,22,-,-,,#VALUE!,171.3642857,#VALUE!
46:22.1,1405,1479,18,-,-,,#VALUE!,154.9428571,#VALUE!
46:23.1,1406,1379.5,17,-,-,,#VALUE!,144.5190476,#VALUE!
46:24.1,1407,1343,17,-,-,,#VALUE!,140.6952381,#VALUE!
46:25.1,1408,1354,16,-,-,,#VALUE!,141.847619,#VALUE!
46:26.1,1409,1409,18,2.06088352,13.96704483,,147.5532974,147.6095238,0.999619087
46:27.1,1410,1690.25,18,2.06088352,13.96704483,,147.5532974,177.0738095,0.833286966
46:28.1,1411,1869.75,24,6.30728197,35.63307571,,177.0063865,195.8785714,0.903653652
46:29.1,1412,2156.75,27,9.39849758,41.61219788,,225.8591966,225.9452381,0.999619193
46:30.1,1413,2422.25,30,9.3663044,36.92421722,,253.6629103,253.7595238,0.999619271
46:31.1,1414,2610.75,32,9.3663044,36.92421722,,253.6629103,273.5071429,0.927445286
46:32.1,1415,2636.75,32,3.71099138,13.43949795,,276.1257447,276.2309524,0.999619131
46:33.1,1416,2528.75,31,3.71099138,13.43949795,,276.1257447,264.9166667,1.042311713
46:34.1,1417,2284.5,28,3.71099138,13.43949795,,276.1257447,239.3285714,1.153751694
46:35.1,1418,1701.75,21,3.71099138,13.43949795,,276.1257447,178.2785714,1.548844275
46:36.1,1419,1410.25,18,-,-,,#VALUE!,147.7404762,#VALUE!
46:37.1,1420,1405.5,17,-,-,,#VALUE!,147.2428571,#VALUE!
46:38.1,1421,1594.25,20,2.36378002,14.15834904,,166.9530828,167.0166667,0.999619296
46:39.1,1422,1896.5,23,7.0987668,35.74308777,,198.6053037,198.6809524,0.999619245
46:40.1,1423,2249.75,28,7.0987668,35.74308777,,198.6053037,235.6880952,0.842661584
46:41.1,1424,2634.75,33,20.47566986,74.20970917,,275.91632,276.0214286,0.999619201
46:42.1,1425,2947.25,37,15.13983059,49.05305481,,308.641952,308.7595238,0.999619212
46:43.1,1426,2182.5,37,15.13983059,49.05305481,3,308.641952,228.6428571,1.349886701
46:44.1,1427,2037.75,37,15.13983059,49.05305481,,308.641952,213.4785714,1.445774861
46:45.1,1428,2143,37,15.13983059,49.05305481,,308.641952,224.5047619,1.374767953
46:46.1,1429,2143,40,-,-,,#VALUE!,224.5047619,#VALUE!
46:47.1,1430,2357.5,43,14.94389153,60.53046799,,246.8821409,246.9761905,0.999619196
46:48.1,1431,2571.75,48,22.64273643,84.07409668,,269.318819,269.4214286,0.999619149
46:49.1,1432,2631.75,49,22.64273643,84.07409668,,269.318819,275.7071429,0.976829313
46:50.1,1433,2625.75,49,2.78883457,10.1421814,,274.9738404,275.0785714,0.999619269
46:51.1,1434,2557,47,2.78883457,10.1421814,,274.9738404,267.8761905,1.026496009
46:52.1,1435,2474.75,46,2.78883457,10.1421814,,274.9738404,259.2595238,1.060612302
46:53.1,1436,2398,44,2.78883457,10.1421814,,274.9738404,251.2190476,1.094558088
46:54.1,1437,2247.75,42,-,-,,#VALUE!,235.4785714,#VALUE!
46:55.1,1438,2223.75,41,-,-,,#VALUE!,232.9642857,#VALUE!
46:56.1,1439,2044.75,38,-,-,,#VALUE!,214.2119048,#VALUE!
46:57.1,1440,2084.25,39,-,-,,#VALUE!,218.35,#VALUE!
46:58.1,1441,2237.5,42,10.24739647,43.73332596,,234.3155076,234.4047619,0.99961923
46:59.1,1442,2395.5,44,9.25626659,36.89790726,,250.8615604,250.9571429,0.999619128
47:00.1,1443,2452.75,45,9.25626659,36.89790726,,250.8615604,256.9547619,0.976286871
47:01.1,1444,2363.75,44,9.25626659,36.89790726,,250.8615604,247.6309524,1.013046059
47:02.1,1445,1996,37,9.25626659,36.89790726,,250.8615604,209.1047619,1.199693197
47:03.1,1446,1759.25,33,-,-,,#VALUE!,184.302381,#VALUE!
47:04.1,1447,1727,32,-,-,,#VALUE!,180.9238095,#VALUE!
47:05.1,1448,1808.25,34,7.00255013,36.97939301,,189.3635768,189.4357143,0.999619198
47:06.1,1449,1916.75,36,7.00255013,36.97939301,,189.3635768,200.802381,0.94303452
47:07.1,1450,2045,38,9.24015808,43.1467514,,214.1565189,214.2380952,0.999619226
47:08.1,1451,2114.25,39,4.13440752,18.67321014,,221.4085039,221.4928571,0.99961916
47:09.1,1452,2195.75,41,8.05274487,35.02056122,,229.9433416,230.0309524,0.999619135
47:10.1,1453,2242.75,41,8.05274487,35.02056122,,229.9433416,234.9547619,0.978670701
47:11.1,1454,2178.25,40,8.05274487,35.02056122,,229.9433416,228.197619,1.007650047
47:12.1,1455,2109.5,39,8.05274487,35.02056122,,229.9433416,220.9952381,1.040490028
47:13.1,1456,1523,35,-,-,,#VALUE!,159.552381,#VALUE!
47:14.1,1457,1265.5,28,-,-,,#VALUE!,132.5761905,#VALUE!
47:15.1,1458,1189.75,22,-,-,,#VALUE!,124.6404762,#VALUE!
47:16.1,1459,1411,26,4.46761513,30.23505402,,147.7627633,147.8190476,0.999619235
47:17.1,1460,1575.5,29,4.46761513,30.23505402,,147.7627633,165.052381,0.895247693
47:18.1,1461,1775.25,33,13.43041039,72.24234009,,185.9077429,185.9785714,0.999619158
47:19.1,1462,1910.25,36,13.43041039,72.24234009,,185.9077429,200.1214286,0.928974694
47:20.1,1463,1764.5,33,13.43041039,72.24234009,,185.9077429,184.852381,1.005709215
47:21.1,1464,1676.25,31,13.43041039,72.24234009,,185.9077429,175.6071429,1.058657068
47:22.1,1465,1702,32,-,-,,#VALUE!,178.3047619,#VALUE!
47:23.1,1466,1936.75,36,15.41679859,76.01208496,,202.820362,202.897619,0.999619232
47:24.1,1467,2089,39,15.41679859,76.01208496,,202.820362,218.847619,0.926765221
47:25.1,1468,2283,42,14.13407516,59.1185112,,239.0803637,239.1714286,0.999619249
47:26.1,1469,2427,45,14.13407516,59.1185112,,239.0803637,254.2571429,0.94030933
47:27.1,1470,2552.75,47,13.30492973,49.76984787,,267.3291219,267.4309524,0.999619227
47:28.1,1471,2625.25,49,13.30492973,49.76984787,,267.3291219,275.0261905,0.972013325
47:29.1,1472,2682.25,50,8.6465826,30.78273773,,280.8906302,280.997619,0.999619254
47:30.1,1473,2724.25,50,8.6465826,30.78273773,,280.8906302,285.397619,0.984208036
47:31.1,1474,2819.75,51,2.93045592,10.06680107,,291.1010061,295.402381,0.98543893
47:32.1,1475,2859.75,52,2.93045592,10.06680107,,291.1010061,299.5928571,0.971655362
47:33.1,1476,2915.25,53,5.9763217,19.95574379,,299.4787748,305.4071429,0.98058864
47:34.1,1477,2948.25,55,6.16643,19.97245789,,308.7466767,308.8642857,0.999619221
47:35.1,1478,2962.25,54,6.16643,19.97245789,,308.7466767,310.3309524,0.994894884
47:36.1,1479,2884.75,53,6.16643,19.97245789,,308.7466767,302.2119048,1.021623145
47:37.1,1480,2820.75,52,6.16643,19.97245789,,308.7466767,295.5071429,1.044802754
47:38.1,1481,2764.25,51,-,-,,#VALUE!,289.5880952,#VALUE!
47:39.1,1482,2663.5,49,-,-,,#VALUE!,279.0333333,#VALUE!
47:40.1,1483,2602,48,-,-,,#VALUE!,272.5904762,#VALUE!
47:41.1,1484,2495.75,46,-,-,,#VALUE!,261.4595238,#VALUE!
47:42.1,1485,2430.75,45,-,-,,#VALUE!,254.65,#VALUE!
47:43.1,1486,2302.75,43,-,-,,#VALUE!,241.2404762,#VALUE!
47:44.1,1487,2028.75,37,-,-,,#VALUE!,212.5357143,#VALUE!
47:45.1,1488,1650.5,30,-,-,,#VALUE!,172.9095238,#VALUE!
47:46.1,1489,1052.75,20,-,-,,#VALUE!,110.2880952,#VALUE!
47:47.1,1490,1058,16,-,-,,#VALUE!,110.8380952,#VALUE!
47:48.1,1491,946.25,16,-,-,,#VALUE!,99.13095238,#VALUE!
47:49.1,1492,1354,17,-,-,2,#VALUE!,141.847619,#VALUE!
47:50.1,1493,1609,20,4.0629878,24.11301422,,168.4977151,168.5619048,0.999619192
47:51.1,1494,1952.5,24,4.0629878,24.11301422,,168.4977151,204.547619,0.82375789
47:52.1,1495,2425,30,15.30094814,60.25160599,,253.9508763,254.047619,0.999619194
47:53.1,1496,2803.75,35,15.30094814,60.25160599,,253.9508763,293.7261905,0.864583699
47:54.1,1497,3160.75,39,20.42923546,61.71973038,,331.0000762,331.1261905,0.999619135
47:55.1,1498,2951.75,41,20.42923546,61.71973038,,331.0000762,309.2309524,1.070397622
47:56.1,1499,1849.5,40,2.2181654,11.45253372,3,193.6833765,193.7571429,0.999619284
47:57.1,1500,2241.25,40,2.2181654,11.45253372,,193.6833765,234.797619,0.824894977
47:58.1,1501,2229.5,42,4.82920218,20.57534409,,234.7082099,233.5666667,1.004887441
47:59.1,1502,2207,41,4.82920218,20.57534409,,234.7082099,231.2095238,1.015132102
48:00.1,1503,1979.5,37,4.82920218,20.57534409,,234.7082099,207.3761905,1.131799217
48:01.1,1504,1607.25,30,-,-,,#VALUE!,168.3785714,#VALUE!
48:02.1,1505,1378,26,-,-,,#VALUE!,144.3619048,#VALUE!
48:03.1,1506,1199.75,24,-,-,,#VALUE!,125.6880952,#VALUE!
48:04.1,1507,1463.5,27,1.49266672,9.739398,,153.2606759,153.3190476,0.999619279
48:05.1,1508,1640.5,30,1.49266672,9.739398,,153.2606759,171.8619048,0.891766422
48:06.1,1509,1799,33,11.80401993,62.65573502,,188.394884,188.4666667,0.999619123
48:07.1,1510,1979,37,11.80401993,62.65573502,,188.394884,207.3238095,0.908698738
48:08.1,1511,2049.75,38,9.69060326,45.14523697,,214.653946,214.7357143,0.999619214
48:09.1,1512,1977.5,36,9.69060326,45.14523697,,214.653946,207.1666667,1.036141332
48:10.1,1513,1694,31,9.69060326,45.14523697,,214.653946,177.4666667,1.20954515
48:11.1,1514,1282.25,23,-,-,,#VALUE!,134.3309524,#VALUE!
48:12.1,1515,992.5,17,-,-,,#VALUE!,103.9761905,#VALUE!
48:13.1,1516,1011.5,17,-,-,,#VALUE!,105.9666667,#VALUE!
48:14.1,1517,1032.75,13,-,-,,#VALUE!,108.1928571,#VALUE!
48:15.1,1518,1168.5,15,0.8479178,6.92926311,2,122.3676727,122.4142857,0.999619219
48:16.1,1519,1449,18,0.8479178,6.92926311,,122.3676727,151.8,0.806111151
48:17.1,1520,1762.5,22,8.58400631,46.50749207,,184.5725479,184.6428571,0.999619215
48:18.1,1521,2074.25,22,8.58400631,46.50749207,,184.5725479,217.302381,0.849381158
48:19.1,1522,2209,27,9.87219906,45.44800568,,217.2196318,231.4190476,0.938641975
48:20.1,1523,2209,27,9.87219906,45.44800568,,217.2196318,231.4190476,0.938641975
48:21.1,1524,1576.25,23,9.87219906,45.44800568,,217.2196318,165.1309524,1.315438618
48:22.1,1525,1525.25,19,-,-,,#VALUE!,159.7880952,#VALUE!
48:23.1,1526,1488,19,-,-,,#VALUE!,155.8857143,#VALUE!
48:24.1,1527,1611,20,1.15472639,6.84456062,,168.7071609,168.7714286,0.999619203
48:25.1,1528,1745.25,22,1.15472639,6.84456062,,168.7071609,182.8357143,0.922725418
48:26.1,1529,1621.75,20,1.15472639,6.84456062,,168.7071609,169.897619,0.992993085
48:27.1,1530,1037,16,1.15472639,6.84456062,1,168.7071609,108.6380952,1.552928193
48:28.1,1531,982,11,-,-,,#VALUE!,102.8761905,#VALUE!
48:29.1,1532,919,7,-,-,,#VALUE!,96.27619048,#VALUE!
48:30.1,1533,899,4,-,-,,#VALUE!,94.18095238,#VALUE!
48:31.1,1534,870,3,-,-,,#VALUE!,91.14285714,#VALUE!
48:32.1,1535,889.75,0,-,-,,#VALUE!,93.21190476,#VALUE!
48:33.1,1536,893.75,0,-,-,,#VALUE!,93.63095238,#VALUE!
48:34.1,1537,920.75,0,-,-,,#VALUE!,96.45952381,#VALUE!
48:35.1,1538,886.75,0,-,-,,#VALUE!,92.89761905,#VALUE!
48:36.1,1539,904.75,0,-,-,,#VALUE!,94.78333333,#VALUE!
48:37.1,1540,906.75,0,-,-,,#VALUE!,94.99285714,#VALUE!
48:38.1,1541,906.75,0,-,-,,#VALUE!,94.99285714,#VALUE!
48:39.1,1542,891.5,0,-,-,,#VALUE!,93.3952381,#VALUE!
48:40.1,1543,892.5,0,-,-,,#VALUE!,93.5,#VALUE!
48:41.1,1544,891.75,0,-,-,,#VALUE!,93.42142857,#VALUE!
48:42.1,1545,887.25,0,-,-,,#VALUE!,92.95,#VALUE!
48:43.1,1546,892.75,0,-,-,,#VALUE!,93.52619048,#VALUE!
48:44.1,1547,877.25,0,-,-,,#VALUE!,91.90238095,#VALUE!
48:45.1,1548,901,0,-,-,,#VALUE!,94.39047619,#VALUE!
48:46.1,1549,886.5,0,-,-,,#VALUE!,92.87142857,#VALUE!
48:47.1,1550,892,0,-,-,,#VALUE!,93.44761905,#VALUE!
48:48.1,1551,889.25,0,-,-,,#VALUE!,93.15952381,#VALUE!
48:49.1,1552,866.25,0,-,-,,#VALUE!,90.75,#VALUE!
48:50.1,1553,885.75,0,-,-,,#VALUE!,92.79285714,#VALUE!
48:51.1,1554,885.75,0,-,-,,#VALUE!,92.79285714,#VALUE!
48:52.1,1555,905,0,-,-,,#VALUE!,94.80952381,#VALUE!
48:53.1,1556,879,0,-,-,,#VALUE!,92.08571429,#VALUE!
48:54.1,1557,922.25,0,-,-,,#VALUE!,96.61666667,#VALUE!
48:55.1,1558,1916.25,0,-,-,,#VALUE!,200.75,#VALUE!
48:56.1,1559,1911,4,1.37501609,6.87082815,,200.1237784,200.2,0.999619273
48:57.1,1560,1979.25,6,1.37501609,6.87082815,,200.1237784,207.35,0.965149643
48:58.1,1561,1986.5,9,2.74329066,13.18697739,,208.0302846,208.1095238,0.999619243
48:59.1,1562,1957,13,4.99758339,24.38547707,,204.9409727,205.0190476,0.999619182
49:00.1,1563,1022.5,13,4.99758339,24.38547707,,204.9409727,107.1190476,1.913207569
49:01.1,1564,1022.5,13,4.99758339,24.38547707,2,204.9409727,107.1190476,1.913207569
49:02.1,1565,931.75,13,4.99758339,24.38547707,,204.9409727,97.61190476,2.099548955
49:03.1,1566,952.75,12,-,-,,#VALUE!,99.81190476,#VALUE!
49:04.1,1567,958.75,12,-,-,,#VALUE!,100.4404762,#VALUE!
49:05.1,1568,1100.75,14,-,-,,#VALUE!,115.3166667,#VALUE!
49:06.1,1569,1172.5,14,1.80902588,14.73309422,,122.7865547,122.8333333,0.99961917
49:07.1,1570,1194,15,1.34470618,10.7543726,,125.0380873,125.0857143,0.999619245
49:08.1,1571,1297.25,16,1.34470618,10.7543726,,125.0380873,135.902381,0.920058107
49:09.1,1572,1288.5,16,0.85437191,6.33176184,,134.9343092,134.9857143,0.999619181
49:10.1,1573,1244.25,15,0.85437191,6.33176184,,134.9343092,130.35,1.035169231
49:11.1,1574,1213,15,0.85437191,6.33176184,,134.9343092,127.0761905,1.061837853
49:12.1,1575,1035.5,13,0.85437191,6.33176184,,134.9343092,108.4809524,1.24385255
49:13.1,1576,965.5,13,-,-,,#VALUE!,101.147619,#VALUE!
49:14.1,1577,970.25,12,-,-,,#VALUE!,101.6452381,#VALUE!
49:15.1,1578,1273.75,13,1.17812109,8.83217716,,133.3896579,133.4404762,0.999619169
49:16.1,1579,1159.5,15,1.17812109,8.83217716,,133.3896579,121.4714286,1.098115495
49:17.1,1580,1270.75,15,1.17812109,8.83217716,,133.3896579,133.1261905,1.00197908
49:18.1,1581,1401.25,16,2.45743418,18.46646881,,133.0754789,146.797619,0.906523415
49:19.1,1582,1401.25,17,2.45743418,18.46646881,,133.0754789,146.797619,0.906523415
49:20.1,1583,1633.25,18,1.80794394,11.70455742,,154.4649554,171.102381,0.902763331
49:21.1,1584,1639.75,20,2.44399858,14.23263645,,171.7179096,171.7833333,0.99961915
49:22.1,1585,1639.75,20,2.44399858,14.23263645,,171.7179096,171.7833333,0.99961915
49:23.1,1586,1391,19,2.44399858,14.23263645,,171.7179096,145.7238095,1.178379224
49:24.1,1587,1331.25,16,2.44399858,14.23263645,,171.7179096,139.4642857,1.231267982
